timestamp_utc,open,high,low,close,tick_volume,spread_points,real_volume
2025-04-17 18:30:00,142.148,142.23099999999999,142.148,142.202,691,0,0
2025-04-17 18:35:00,142.20099999999999,142.30699999999999,142.184,142.30500000000001,659,0,0
2025-04-17 18:40:00,142.303,142.327,142.22999999999999,142.23500000000001,647,2,0
2025-04-17 18:45:00,142.239,142.31100000000001,142.22399999999999,142.28200000000001,763,1,0
2025-04-17 18:50:00,142.285,142.37299999999999,142.27799999999999,142.34,854,0,0
2025-04-17 18:55:00,142.33600000000001,142.37200000000001,142.29900000000001,142.334,706,0,0
2025-04-17 19:00:00,142.339,142.37,142.20699999999999,142.209,810,0,0
2025-04-17 19:05:00,142.21000000000001,142.44,142.18600000000001,142.41,1435,5,0
2025-04-17 19:10:00,142.416,142.45599999999999,142.38200000000001,142.447,1275,4,0
2025-04-17 19:15:00,142.44399999999999,142.48599999999999,142.40100000000001,142.47,838,2,0
2025-04-17 19:20:00,142.47200000000001,142.494,142.44300000000001,142.453,674,2,0
2025-04-17 19:25:00,142.45400000000001,142.56700000000001,142.43299999999999,142.54499999999999,654,3,0
2025-04-17 19:30:00,142.54599999999999,142.58600000000001,142.52099999999999,142.58500000000001,635,4,0
2025-04-17 19:35:00,142.58600000000001,142.63300000000001,142.49799999999999,142.51300000000001,717,4,0
2025-04-17 19:40:00,142.512,142.52799999999999,142.40700000000001,142.416,798,4,0
2025-04-17 19:45:00,142.41800000000001,142.5,142.40899999999999,142.49799999999999,468,4,0
2025-04-17 19:50:00,142.499,142.53899999999999,142.49000000000001,142.5,489,3,0
2025-04-17 19:55:00,142.499,142.54599999999999,142.44399999999999,142.46199999999999,641,4,0
2025-04-17 20:00:00,142.46299999999999,142.488,142.43100000000001,142.48400000000001,731,5,0
2025-04-17 20:05:00,142.48500000000001,142.51400000000001,142.45400000000001,142.45400000000001,463,4,0
2025-04-17 20:10:00,142.45500000000001,142.46299999999999,142.40100000000001,142.453,406,4,0
