timestamp_utc,open,high,low,close,tick_volume,spread_points,real_volume
2023-01-03 00:00:00,130.71100000000001,131.40299999999999,129.81299999999999,130.154,23339,0,3531172000
2023-01-03 04:00:00,130.154,130.30799999999999,129.50800000000001,129.81800000000001,25776,0,3976356000
2023-01-03 08:00:00,129.81700000000001,130.96199999999999,129.61699999999999,130.41800000000001,43028,0,7605394000
2023-01-03 12:00:00,130.416,131.19300000000001,130.36199999999999,130.65600000000001,37689,0,7238894000
2023-01-03 16:00:00,130.65600000000001,131.10599999999999,130.05500000000001,130.797,41242,0,7872144000
2023-01-03 20:00:00,130.79300000000001,131.03399999999999,130.57499999999999,130.982,16024,0,3318472000
2023-01-04 00:00:00,130.98400000000001,131.46899999999999,130.583,130.648,27230,0,4246614000
2023-01-04 04:00:00,130.649,130.99600000000001,130.61799999999999,130.852,18546,0,2742378000
2023-01-04 08:00:00,130.851,130.87899999999999,129.92599999999999,130.423,39080,0,6342510000
2023-01-04 12:00:00,130.422,130.97800000000001,130.279,130.709,31654,0,5822782000
2023-01-04 16:00:00,130.71000000000001,132.714,130.69800000000001,132.55600000000001,47614,0,9236476000
2023-01-04 20:00:00,132.55099999999999,132.71799999999999,132.387,132.59299999999999,26771,0,4631444000
2023-01-05 00:00:00,132.59299999999999,132.59299999999999,131.68100000000001,131.97300000000001,22797,0,3454626000
2023-01-05 04:00:00,131.97399999999999,132.626,131.92500000000001,132.482,25404,0,3772830000
2023-01-05 08:00:00,132.482,132.904,132.244,132.53399999999999,33944,0,5619952000
2023-01-05 12:00:00,132.52600000000001,133.72499999999999,132.327,133.685,39653,0,8329574000
2023-01-05 16:00:00,133.68600000000001,134.05500000000001,133.071,133.24799999999999,43389,0,11114430000
2023-01-05 20:00:00,133.24700000000001,133.43899999999999,132.95400000000001,133.32900000000001,22966,0,6007234000
2023-01-06 00:00:00,133.34899999999999,133.81100000000001,133.268,133.80099999999999,21971,0,5547018000
2023-01-06 04:00:00,133.80199999999999,134.37100000000001,133.58199999999999,134.15899999999999,20165,0,5149338000
2023-01-06 08:00:00,134.16499999999999,134.596,133.70400000000001,134.41,32034,0,8158340000
2023-01-06 12:00:00,134.411,134.774,133.23699999999999,133.37,38086,0,9633448000
2023-01-06 16:00:00,133.374,134.09899999999999,132.08000000000001,132.10900000000001,53258,0,13468260000
2023-01-06 20:00:00,132.10300000000001,132.21199999999999,131.995,132.095,14452,0,3699480000
2023-01-09 00:00:00,131.917,132.291,131.59100000000001,131.744,20466,0,5168468000
2023-01-09 04:00:00,131.74199999999999,131.91300000000001,131.304,131.84399999999999,18922,0,4806914000
2023-01-09 08:00:00,131.845,132.57300000000001,131.61600000000001,132.44300000000001,34546,0,8727908000
2023-01-09 12:00:00,132.44399999999999,132.65700000000001,131.727,131.78100000000001,33469,0,8541606000
2023-01-09 16:00:00,131.78200000000001,132.06899999999999,131.553,131.761,35388,0,9035664000
2023-01-09 20:00:00,131.75899999999999,131.89099999999999,131.53200000000001,131.84899999999999,16559,0,4219840000
2023-01-10 00:00:00,131.75200000000001,132.221,131.38499999999999,131.52000000000001,24657,0,6194558000
2023-01-10 04:00:00,131.51900000000001,132.03399999999999,131.488,131.76900000000001,22418,0,5844680000
2023-01-10 08:00:00,131.77099999999999,132.292,131.69,131.822,35342,0,9189776000
2023-01-10 12:00:00,131.821,132.477,131.816,132.28899999999999,31761,0,8219564000
2023-01-10 16:00:00,132.28999999999999,132.34200000000001,131.727,132.20699999999999,46113,0,11875240000
2023-01-10 20:00:00,132.21000000000001,132.304,132.149,132.215,16068,0,3924494000
2023-01-11 00:00:00,132.21600000000001,132.52699999999999,132.065,132.39599999999999,19375,0,3290588000
2023-01-11 04:00:00,132.39599999999999,132.583,132.13399999999999,132.262,14340,0,1861338000
2023-01-11 08:00:00,132.262,132.74700000000001,132.16200000000001,132.482,23970,0,3523102000
2023-01-11 12:00:00,132.482,132.87299999999999,132.316,132.697,26076,0,4134020000
2023-01-11 16:00:00,132.696,132.75,132.37899999999999,132.48500000000001,30539,0,6750580000
2023-01-11 20:00:00,132.48599999999999,132.70400000000001,132.286,132.42699999999999,20705,0,4371016000
2023-01-12 00:00:00,132.42599999999999,132.48099999999999,131.53800000000001,131.66800000000001,26332,0,3951234000
2023-01-12 04:00:00,131.66999999999999,131.81200000000001,131.364,131.63900000000001,16136,0,2177398000
2023-01-12 08:00:00,131.637,131.90199999999999,130.85499999999999,130.96000000000001,29660,0,4283962000
2023-01-12 12:00:00,130.96000000000001,131.215,129.499,129.65199999999999,39465,0,5900264000
2023-01-12 16:00:00,129.65000000000001,130.785,129.17500000000001,129.196,56549,0,8609104000
2023-01-12 20:00:00,129.19499999999999,129.44499999999999,128.86199999999999,129.24100000000001,23308,0,3494880000
2023-01-13 00:00:00,129.203,129.42400000000001,128.64599999999999,128.935,28702,0,4032104000
2023-01-13 04:00:00,128.935,129.30199999999999,128.92500000000001,129.166,20456,0,2513344000
2023-01-13 08:00:00,129.167,129.17099999999999,128.10900000000001,128.52600000000001,36341,0,4594508000
2023-01-13 12:00:00,128.524,128.83199999999999,128.16900000000001,128.24299999999999,29985,0,3943130000
2023-01-13 16:00:00,128.24100000000001,128.32900000000001,127.459,127.70699999999999,39281,0,6411809000
2023-01-13 20:00:00,127.70399999999999,127.944,127.66800000000001,127.84699999999999,12388,0,1876754000
2023-01-16 00:00:00,127.791,128.20099999999999,127.53700000000001,127.68000000000001,22752,0,2747955000
2023-01-16 04:00:00,127.68000000000001,127.78400000000001,127.22199999999999,127.607,21393,0,2452284000
2023-01-16 08:00:00,127.608,128.86500000000001,127.581,128.37299999999999,33983,0,4779794000
2023-01-16 12:00:00,128.37299999999999,128.565,128.11500000000001,128.428,20728,0,2614600000
2023-01-16 16:00:00,128.43000000000001,128.75999999999999,128.37,128.71000000000001,12860,0,1517876000
2023-01-16 20:00:00,128.71100000000001,128.72,128.42500000000001,128.53899999999999,5410,0,883220000
2023-01-17 00:00:00,128.53800000000001,128.95699999999999,128.21299999999999,128.81,20191,0,2809742000
2023-01-17 04:00:00,128.81200000000001,129.15700000000001,128.577,128.649,17122,0,2060192000
2023-01-17 08:00:00,128.649,129.02600000000001,128.38300000000001,128.786,26884,0,3483084000
2023-01-17 12:00:00,128.786,129.12200000000001,128.32400000000001,128.71299999999999,30137,0,4354740000
2023-01-17 16:00:00,128.71299999999999,128.71899999999999,127.992,128.245,36689,0,6064497000
2023-01-17 20:00:00,128.245,128.44499999999999,128.08600000000001,128.09299999999999,11482,0,1910390000
2023-01-18 00:00:00,128.125,129.04900000000001,128.083,128.56299999999999,15860,0,2132752000
2023-01-18 04:00:00,128.56399999999999,131.577,128.369,130.81299999999999,42720,0,5309664000
2023-01-18 08:00:00,130.81399999999999,131.232,129.202,129.39400000000001,47888,0,5484058000
2023-01-18 12:00:00,129.38999999999999,129.589,128.00399999999999,128.126,40161,0,4920482000
2023-01-18 16:00:00,128.12799999999999,128.95400000000001,127.566,128.816,42384,0,6647726000
2023-01-18 20:00:00,128.80000000000001,128.91999999999999,128.607,128.851,14220,0,2042658000
2023-01-19 00:00:00,128.85300000000001,128.88800000000001,128.28100000000001,128.57599999999999,21708,0,2947600000
2023-01-19 04:00:00,128.57300000000001,128.63499999999999,127.761,127.98,16818,0,1996240000
2023-01-19 08:00:00,127.982,128.40299999999999,127.765,128.327,24863,0,2896804000
2023-01-19 12:00:00,128.322,128.815,128.309,128.38800000000001,27588,0,3299938000
