datetime,open,high,low,close,tick_volume,spread_points,real_volume
2023.01.03 00:00:00,130.711,131.403,129.813,130.154,23339,0,3531172000
2023.01.03 04:00:00,130.154,130.308,129.508,129.818,25776,0,3976356000
2023.01.03 08:00:00,129.817,130.962,129.617,130.418,43028,0,7605394000
2023.01.03 12:00:00,130.416,131.193,130.362,130.656,37689,0,7238894000
2023.01.03 16:00:00,130.656,131.106,130.055,130.797,41242,0,7872144000
2023.01.03 20:00:00,130.793,131.034,130.575,130.982,16024,0,3318472000
2023.01.04 00:00:00,130.984,131.469,130.583,130.648,27230,0,4246614000
2023.01.04 04:00:00,130.649,130.996,130.618,130.852,18546,0,2742378000
2023.01.04 08:00:00,130.851,130.879,129.926,130.423,39080,0,6342510000
2023.01.04 12:00:00,130.422,130.978,130.279,130.709,31654,0,5822782000
2023.01.04 16:00:00,130.710,132.714,130.698,132.556,47614,0,9236476000
2023.01.04 20:00:00,132.551,132.718,132.387,132.593,26771,0,4631444000
2023.01.05 00:00:00,132.593,132.593,131.681,131.973,22797,0,3454626000
2023.01.05 04:00:00,131.974,132.626,131.925,132.482,25404,0,3772830000
2023.01.05 08:00:00,132.482,132.904,132.244,132.534,33944,0,5619952000
2023.01.05 12:00:00,132.526,133.725,132.327,133.685,39653,0,8329574000
2023.01.05 16:00:00,133.686,134.055,133.071,133.248,43389,0,11114430000
2023.01.05 20:00:00,133.247,133.439,132.954,133.329,22966,0,6007234000
2023.01.06 00:00:00,133.349,133.811,133.268,133.801,21971,0,5547018000
2023.01.06 04:00:00,133.802,134.371,133.582,134.159,20165,0,5149338000
2023.01.06 08:00:00,134.165,134.596,133.704,134.410,32034,0,8158340000
2023.01.06 12:00:00,134.411,134.774,133.237,133.370,38086,0,9633448000
2023.01.06 16:00:00,133.374,134.099,132.080,132.109,53258,0,13468260000
2023.01.06 20:00:00,132.103,132.212,131.995,132.095,14452,0,3699480000
2023.01.09 00:00:00,131.917,132.291,131.591,131.744,20466,0,5168468000
2023.01.09 04:00:00,131.742,131.913,131.304,131.844,18922,0,4806914000
2023.01.09 08:00:00,131.845,132.573,131.616,132.443,34546,0,8727908000
2023.01.09 12:00:00,132.444,132.657,131.727,131.781,33469,0,8541606000
2023.01.09 16:00:00,131.782,132.069,131.553,131.761,35388,0,9035664000
2023.01.09 20:00:00,131.759,131.891,131.532,131.849,16559,0,4219840000
2023.01.10 00:00:00,131.752,132.221,131.385,131.520,24657,0,6194558000
2023.01.10 04:00:00,131.519,132.034,131.488,131.769,22418,0,5844680000
2023.01.10 08:00:00,131.771,132.292,131.690,131.822,35342,0,9189776000
2023.01.10 12:00:00,131.821,132.477,131.816,132.289,31761,0,8219564000
2023.01.10 16:00:00,132.290,132.342,131.727,132.207,46113,0,11875240000
2023.01.10 20:00:00,132.210,132.304,132.149,132.215,16068,0,3924494000
2023.01.11 00:00:00,132.216,132.527,132.065,132.396,19375,0,3290588000
2023.01.11 04:00:00,132.396,132.583,132.134,132.262,14340,0,1861338000
2023.01.11 08:00:00,132.262,132.747,132.162,132.482,23970,0,3523102000
2023.01.11 12:00:00,132.482,132.873,132.316,132.697,26076,0,4134020000
2023.01.11 16:00:00,132.696,132.750,132.379,132.485,30539,0,6750580000
2023.01.11 20:00:00,132.486,132.704,132.286,132.427,20705,0,4371016000
2023.01.12 00:00:00,132.426,132.481,131.538,131.668,26332,0,3951234000
2023.01.12 04:00:00,131.670,131.812,131.364,131.639,16136,0,2177398000
2023.01.12 08:00:00,131.637,131.902,130.855,130.960,29660,0,4283962000
2023.01.12 12:00:00,130.960,131.215,129.499,129.652,39465,0,5900264000
2023.01.12 16:00:00,129.650,130.785,129.175,129.196,56549,0,8609104000
2023.01.12 20:00:00,129.195,129.445,128.862,129.241,23308,0,3494880000
2023.01.13 00:00:00,129.203,129.424,128.646,128.935,28702,0,4032104000
2023.01.13 04:00:00,128.935,129.302,128.925,129.166,20456,0,2513344000
2023.01.13 08:00:00,129.167,129.171,128.109,128.526,36341,0,4594508000
2023.01.13 12:00:00,128.524,128.832,128.169,128.243,29985,0,3943130000
2023.01.13 16:00:00,128.241,128.329,127.459,127.707,39281,0,6411809000
