datetime,open,high,low,close,tick_volume,spread_points,real_volume
2023.01.03 00:00:00,130.711,130.729,130.691,130.707,63,50,7290000
2023.01.03 01:00:00,130.717,131.403,130.538,130.796,6725,0,867022000
2023.01.03 02:00:00,130.793,130.904,130.575,130.610,5891,0,980034000
2023.01.03 03:00:00,130.611,130.718,129.813,130.154,10660,0,1676826000
2023.01.03 04:00:00,130.154,130.308,129.779,129.923,7565,0,1180856000
2023.01.03 05:00:00,129.921,129.984,129.682,129.786,6210,0,861708000
2023.01.03 06:00:00,129.782,129.802,129.508,129.596,5510,0,835968000
2023.01.03 07:00:00,129.599,129.956,129.553,129.818,6491,0,1097824000
2023.01.03 08:00:00,129.817,130.062,129.617,129.845,6581,0,857986000
2023.01.03 09:00:00,129.843,130.253,129.782,130.112,7360,0,1067848000
2023.01.03 10:00:00,130.111,130.962,130.099,130.783,14995,0,2812182000
2023.01.03 11:00:00,130.783,130.802,130.312,130.418,14092,0,2867378000
2023.01.03 12:00:00,130.416,130.735,130.362,130.691,9608,0,1785106000
2023.01.03 13:00:00,130.692,130.888,130.628,130.876,7316,0,1342626000
2023.01.03 14:00:00,130.876,131.193,130.833,130.975,9321,0,1904758000
2023.01.03 15:00:00,130.975,131.005,130.587,130.656,11444,0,2206404000
2023.01.03 16:00:00,130.656,130.795,130.055,130.188,11766,0,2471340000
2023.01.03 17:00:00,130.185,130.934,130.184,130.743,12994,0,2215126000
2023.01.03 18:00:00,130.741,131.106,130.622,130.835,10949,0,2106028000
2023.01.03 19:00:00,130.832,130.883,130.725,130.797,5533,0,1079650000
2023.01.03 20:00:00,130.793,130.813,130.601,130.622,5798,0,1196946000
2023.01.03 21:00:00,130.622,130.789,130.575,130.781,4255,0,935962000
2023.01.03 22:00:00,130.780,130.965,130.752,130.962,3494,0,554194000
2023.01.03 23:00:00,130.963,131.034,130.883,130.982,2477,1,631370000
2023.01.04 00:00:00,130.984,131.022,130.949,130.968,5382,26,1343650000
2023.01.04 01:00:00,130.978,131.469,130.977,131.296,6757,0,853258000
2023.01.04 02:00:00,131.300,131.308,130.822,131.019,7670,0,1029806000
2023.01.04 03:00:00,131.015,131.217,130.583,130.648,7421,0,1019900000
2023.01.04 04:00:00,130.649,130.939,130.633,130.817,5532,0,759530000
2023.01.04 05:00:00,130.817,130.861,130.618,130.649,3793,0,549400000
2023.01.04 06:00:00,130.645,130.953,130.645,130.831,3494,0,514284000
2023.01.04 07:00:00,130.832,130.996,130.753,130.852,5727,0,919164000
2023.01.04 08:00:00,130.851,130.879,130.682,130.731,5574,0,785304000
2023.01.04 09:00:00,130.730,130.754,130.117,130.245,10610,0,1812982000
2023.01.04 10:00:00,130.246,130.528,129.926,130.511,14182,0,2247458000
2023.01.04 11:00:00,130.506,130.630,130.277,130.423,8714,0,1496766000
2023.01.04 12:00:00,130.422,130.570,130.420,130.429,6108,0,970392000
2023.01.04 13:00:00,130.430,130.592,130.279,130.534,5707,0,1001518000
2023.01.04 14:00:00,130.533,130.978,130.517,130.836,9195,0,1743852000
2023.01.04 15:00:00,130.835,130.924,130.579,130.709,10644,0,2107020000
2023.01.04 16:00:00,130.710,131.128,130.698,131.004,10553,0,1905484000
2023.01.04 17:00:00,131.005,132.087,130.968,132.014,18681,0,3649226000
2023.01.04 18:00:00,132.013,132.194,131.939,132.004,11613,0,2369294000
2023.01.04 19:00:00,132.005,132.714,131.998,132.556,6767,0,1312472000
2023.01.04 20:00:00,132.551,132.598,132.387,132.490,6495,0,1031952000
2023.01.04 21:00:00,132.489,132.718,132.431,132.611,11237,0,1825580000
2023.01.04 22:00:00,132.612,132.693,132.488,132.682,6271,0,1087040000
2023.01.04 23:00:00,132.682,132.709,132.590,132.593,2768,2,686872000
2023.01.05 00:00:00,132.593,132.593,132.359,132.360,913,20,220604000
2023.01.05 01:00:00,132.370,132.460,132.065,132.256,5340,0,743200000
2023.01.05 02:00:00,132.248,132.318,131.811,131.885,8142,0,1298372000
2023.01.05 03:00:00,131.886,132.013,131.681,131.973,8402,0,1192450000
2023.01.05 04:00:00,131.974,132.201,131.925,131.982,7262,0,1134014000
2023.01.05 05:00:00,131.983,132.386,131.936,132.347,6428,0,899800000
2023.01.05 06:00:00,132.348,132.429,132.194,132.310,5493,0,845700000
2023.01.05 07:00:00,132.311,132.626,132.298,132.482,6221,0,893316000
2023.01.05 08:00:00,132.482,132.575,132.244,132.442,6503,0,907904000
2023.01.05 09:00:00,132.441,132.613,132.266,132.485,8417,0,1171054000
2023.01.05 10:00:00,132.481,132.904,132.430,132.591,10814,0,1804618000
2023.01.05 11:00:00,132.592,132.697,132.424,132.534,8210,0,1736376000
2023.01.05 12:00:00,132.526,132.637,132.381,132.482,7694,0,1693958000
2023.01.05 13:00:00,132.481,132.601,132.327,132.453,6675,0,1384888000
2023.01.05 14:00:00,132.452,132.768,132.391,132.759,7009,0,1326444000
2023.01.05 15:00:00,132.760,133.725,132.739,133.685,18275,0,3924284000
2023.01.05 16:00:00,133.686,133.787,133.467,133.743,13887,0,3529320000
2023.01.05 17:00:00,133.744,134.055,133.598,133.871,12638,0,3243648000
2023.01.05 18:00:00,133.872,133.914,133.472,133.577,9012,0,2323784000
2023.01.05 19:00:00,133.578,133.580,133.071,133.248,7852,0,2017678000
2023.01.05 20:00:00,133.247,133.327,132.954,133.117,8248,0,2163546000
2023.01.05 21:00:00,133.118,133.302,133.105,133.188,6230,0,1608392000
2023.01.05 22:00:00,133.187,133.367,133.187,133.365,5528,0,1457026000
2023.01.05 23:00:00,133.364,133.439,133.329,133.329,2960,5,778270000
2023.01.06 00:00:00,133.349,133.418,133.340,133.395,6830,42,1703028000
2023.01.06 01:00:00,133.406,133.517,133.268,133.320,3762,0,948862000
2023.01.06 02:00:00,133.319,133.638,133.301,133.536,6139,0,1562442000
2023.01.06 03:00:00,133.535,133.811,133.481,133.801,5240,0,1332686000
2023.01.06 04:00:00,133.802,133.824,133.582,133.644,4507,0,1167112000
2023.01.06 05:00:00,133.646,133.944,133.629,133.818,5608,0,1428136000
2023.01.06 06:00:00,133.818,133.925,133.778,133.913,3605,0,926594000
2023.01.06 07:00:00,133.914,134.371,133.849,134.159,6445,0,1627496000
2023.01.06 08:00:00,134.165,134.199,133.971,134.025,6484,0,1659560000
2023.01.06 09:00:00,134.022,134.322,133.704,134.222,9700,0,2458520000
2023.01.06 10:00:00,134.221,134.446,134.149,134.349,8725,0,2229874000
2023.01.06 11:00:00,134.348,134.596,134.280,134.410,7125,0,1810386000
2023.01.06 12:00:00,134.411,134.412,134.220,134.362,6583,0,1693548000
2023.01.06 13:00:00,134.361,134.627,134.262,134.527,6747,0,1738168000
2023.01.06 14:00:00,134.528,134.690,134.463,134.672,6628,0,1695346000
2023.01.06 15:00:00,134.669,134.774,133.237,133.370,18128,0,4506386000
2023.01.06 16:00:00,133.374,134.099,133.261,134.003,17288,0,4385628000
2023.01.06 17:00:00,133.975,133.975,132.355,132.435,19446,0,4871786000
2023.01.06 18:00:00,132.431,132.545,132.183,132.214,11069,0,2816336000
2023.01.06 19:00:00,132.213,132.345,132.080,132.109,5455,0,1394510000
2023.01.06 20:00:00,132.103,132.212,132.050,132.098,5062,0,1294568000
2023.01.06 21:00:00,132.093,132.111,131.995,132.034,3721,0,955232000
2023.01.06 22:00:00,132.035,132.128,132.031,132.094,3991,0,1031790000
2023.01.06 23:00:00,132.091,132.156,132.039,132.095,1678,6,417890000
2023.01.09 00:00:00,131.917,132.126,131.894,132.115,1276,23,316734000
2023.01.09 01:00:00,132.129,132.291,131.787,131.806,5929,0,1489220000
2023.01.09 02:00:00,131.805,132.113,131.707,131.829,6011,0,1530306000
2023.01.09 03:00:00,131.813,131.998,131.591,131.744,7250,0,1832208000
2023.01.09 04:00:00,131.742,131.786,131.340,131.349,6485,0,1648896000
2023.01.09 05:00:00,131.349,131.645,131.304,131.632,4656,0,1176274000
2023.01.09 06:00:00,131.631,131.728,131.534,131.701,3294,0,839610000
2023.01.09 07:00:00,131.703,131.913,131.685,131.844,4487,0,1142134000
2023.01.09 08:00:00,131.845,131.945,131.714,131.797,6216,0,1572684000
2023.01.09 09:00:00,131.803,132.369,131.616,132.235,10135,0,2547110000
2023.01.09 10:00:00,132.228,132.270,131.989,132.145,9625,0,2434178000
2023.01.09 11:00:00,132.146,132.573,132.135,132.443,8570,0,2173936000
2023.01.09 12:00:00,132.444,132.657,132.365,132.619,8001,0,2046158000
2023.01.09 13:00:00,132.619,132.642,132.367,132.511,6876,0,1761128000
2023.01.09 14:00:00,132.513,132.517,132.125,132.283,6807,0,1737506000
2023.01.09 15:00:00,132.284,132.284,131.727,131.781,11785,0,2996814000
2023.01.09 16:00:00,131.782,132.067,131.686,131.880,11984,0,3046048000
2023.01.09 17:00:00,131.883,132.069,131.834,131.949,9425,0,2405158000
2023.01.09 18:00:00,131.950,131.956,131.555,131.580,8045,0,2080162000
2023.01.09 19:00:00,131.581,131.936,131.553,131.761,5934,0,1504296000
2023.01.09 20:00:00,131.759,131.879,131.685,131.852,4959,0,1266592000
2023.01.09 21:00:00,131.853,131.857,131.532,131.570,5019,0,1287178000
2023.01.09 22:00:00,131.569,131.879,131.566,131.799,5062,0,1286288000
2023.01.09 23:00:00,131.796,131.891,131.779,131.849,1519,6,379782000
2023.01.10 00:00:00,131.752,131.901,131.732,131.859,3404,37,850882000
2023.01.10 01:00:00,131.888,131.920,131.593,131.732,3685,0,883770000
2023.01.10 02:00:00,131.732,132.221,131.672,131.704,9268,0,2357572000
2023.01.10 03:00:00,131.703,131.738,131.385,131.520,8300,0,2102334000
2023.01.10 04:00:00,131.519,131.890,131.488,131.791,8010,0,2071700000
2023.01.10 05:00:00,131.790,131.918,131.776,131.832,5743,0,1489506000
2023.01.10 06:00:00,131.829,132.021,131.815,131.985,3504,0,904716000
2023.01.10 07:00:00,131.985,132.034,131.661,131.769,5161,0,1378758000
2023.01.10 08:00:00,131.771,132.004,131.735,131.917,5702,0,1509708000
2023.01.10 09:00:00,131.919,132.292,131.862,132.221,10609,0,2768560000
2023.01.10 10:00:00,132.221,132.228,131.732,131.835,9841,0,2536200000
2023.01.10 11:00:00,131.840,131.946,131.690,131.822,9190,0,2375308000
2023.01.10 12:00:00,131.821,132.008,131.816,131.973,7396,0,1920126000
2023.01.10 13:00:00,131.974,132.184,131.967,132.046,7013,0,1821068000
2023.01.10 14:00:00,132.042,132.444,132.042,132.384,7900,0,2033806000
2023.01.10 15:00:00,132.385,132.477,132.223,132.289,9452,0,2444564000
2023.01.10 16:00:00,132.290,132.290,131.727,132.013,16728,0,4277358000
2023.01.10 17:00:00,132.011,132.327,131.922,132.175,14018,0,3603934000
