bar_index,bar_time_epoch_ms,bar_time_utc,bar_time_london,within_export_window,symbol,timeframe,session,session_phase,open,high,low,close,volume,direction,range,body_size,body_ratio,upper_wick,lower_wick,upper_wick_ratio,lower_wick_ratio,close_location,atr,body_atr,range_atr,net_progress_3,net_progress_6,net_progress_12,net_progress_atr_3,net_progress_atr_6,net_progress_atr_12,directional_efficiency_3,directional_efficiency_6,directional_efficiency_12,overlap_with_previous,overlap_ratio_previous,consecutive_higher_closes,consecutive_lower_closes,nearest_level,nearest_level_source,nearest_level_distance,nearest_level_distance_atr,previous_day_high,previous_day_low,previous_session_high,previous_session_low,consolidation_high,consolidation_low,m15_time,m15_direction,m15_trend,m15_efficiency,m15_atr,m15_swing_high,m15_swing_low,m30_time,m30_direction,m30_trend,m30_efficiency,m30_atr,m30_swing_high,m30_swing_low,h1_time,h1_direction,h1_trend,h1_efficiency,h1_atr,h1_swing_high,h1_swing_low
21056,1785368700000,2026-07-29T23:45:00Z,2026-07-30T00:45:00+01:00,true,USDJPY,5,ASIAN_OVERNIGHT,ASIAN_OVERNIGHT,163.379,163.386,163.328,163.328,345,BEARISH,0.058,0.051,0.8793103448,0.007,0,0.1206896552,0,0,0.0349,1.4613180516,1.6618911175,-0.04,-0.052,,-1.1461318052,-1.4899713467,,0.6060606061,0.619047619,,0.023,0.8846153846,0,2,163.298,CONFIRMED_SWING_LOW,0.03,0.8606,163.91,163.229,163.91,163.229,163.697,163.631,1785367800000,NEUTRAL,0,0.0902,0.0738,163.455,163.298,1785366000000,BULLISH,1,0.2742,0.1159,163.91,163.274,1785362400000,NEUTRAL,0,0.1609,0.1559,163.91,163.229
21057,1785369000000,2026-07-29T23:50:00Z,2026-07-30T00:50:00+01:00,true,USDJPY,5,ASIAN_OVERNIGHT,ASIAN_OVERNIGHT,163.329,163.329,163.273,163.315,885,BEARISH,0.056,0.014,0.25,0,0.042,0,0.75,0.75,0.0364,0.3846153846,1.5384615385,-0.066,-0.068,,-1.8131868132,-1.8681318681,,1,0.7234042553,,0.001,0.0178571429,0,3,163.298,CONFIRMED_SWING_LOW,0.017,0.4674,163.91,163.229,163.91,163.229,163.697,163.631,1785367800000,NEUTRAL,0,0.0902,0.0738,163.455,163.274,1785366000000,BULLISH,1,0.2742,0.1159,163.91,163.274,1785362400000,NEUTRAL,0,0.1609,0.1559,163.91,163.229
21058,1785369300000,2026-07-29T23:55:00Z,2026-07-30T00:55:00+01:00,true,USDJPY,5,ASIAN_OVERNIGHT,ASIAN_OVERNIGHT,163.314,163.337,163.299,163.307,652,BEARISH,0.038,0.007,0.1842105263,0.023,0.008,0.6052631579,0.2105263158,0.2105263158,0.0365,0.1917808219,1.0410958904,-0.073,-0.064,-0.079,-2,-1.7534246575,-2.1643835616,1,0.7111111111,0.3278008299,0.03,0.7894736842,0,4,163.298,CONFIRMED_SWING_LOW,0.009,0.2467,163.91,163.229,163.91,163.229,163.697,163.631,1785367800000,NEUTRAL,0,0.0902,0.0738,163.455,163.274,1785366000000,BULLISH,1,0.2742,0.1159,163.91,163.274,1785362400000,NEUTRAL,0,0.1609,0.1559,163.91,163.229
21059,1785369600000,2026-07-30T00:00:00Z,2026-07-30T01:00:00+01:00,true,USDJPY,5,ASIAN_OVERNIGHT,ASIAN_OVERNIGHT,163.305,163.314,163.233,163.266,1583,BEARISH,0.081,0.039,0.4814814815,0.009,0.033,0.1111111111,0.4074074074,0.4074074074,0.0397,0.9823677582,2.040302267,-0.062,-0.102,-0.062,-1.5617128463,-2.5692695214,-1.5617128463,1,0.796875,0.2767857143,0.015,0.3947368421,0,5,163.298,CONFIRMED_SWING_LOW,0.032,0.8068,163.91,163.229,163.91,163.229,163.697,163.631,1785368700000,NEUTRAL,0,0.0177,0.0766,163.455,163.274,1785367800000,BULLISH,1,0.3128,0.1159,163.91,163.274,1785366000000,NEUTRAL,0,0.1548,0.1531,163.91,163.229
21060,1785369900000,2026-07-30T00:05:00Z,2026-07-30T01:05:00+01:00,true,USDJPY,5,ASIAN_OVERNIGHT,ASIAN_OVERNIGHT,163.267,163.298,163.209,163.241,1310,BEARISH,0.089,0.026,0.2921348315,0.031,0.032,0.3483146067,0.3595505618,0.3595505618,0.0432,0.6018518519,2.0601851852,-0.074,-0.14,-0.074,-1.712962963,-3.2407407407,-1.712962963,1,1,0.313559322,0.065,0.8024691358,0,6,163.229,PREVIOUS_DAY_LOW,0.012,0.2779,163.91,163.229,163.91,163.229,163.697,163.631,1785368700000,NEUTRAL,0,0.0177,0.0766,163.455,163.274,1785367800000,BULLISH,1,0.3128,0.1159,163.91,163.274,1785366000000,NEUTRAL,0,0.1548,0.1531,163.91,163.229
21061,1785370200000,2026-07-30T00:10:00Z,2026-07-30T01:10:00+01:00,true,USDJPY,5,ASIAN_OVERNIGHT,ASIAN_OVERNIGHT,163.242,163.281,163.231,163.26,965,BULLISH,0.05,0.018,0.36,0.021,0.011,0.42,0.22,0.58,0.0437,0.4118993135,1.1441647597,-0.047,-0.12,-0.097,-1.0755148741,-2.7459954233,-2.2196796339,0.5529411765,0.7594936709,0.455399061,0.05,1,1,0,163.229,PREVIOUS_DAY_LOW,0.031,0.7098,163.91,163.229,163.91,163.229,163.697,163.631,1785368700000,NEUTRAL,0,0.0177,0.0766,163.455,163.274,1785367800000,BULLISH,1,0.3128,0.1159,163.91,163.274,1785366000000,NEUTRAL,0,0.1548,0.1531,163.91,163.229
21062,1785370500000,2026-07-30T00:15:00Z,2026-07-30T01:15:00+01:00,true,USDJPY,5,ASIAN_OVERNIGHT,ASIAN_OVERNIGHT,163.259,163.344,163.25,163.34,2053,BULLISH,0.094,0.081,0.8617021277,0.004,0.009,0.0425531915,0.0957446809,0.9574468085,0.0473,1.7124735729,1.9873150106,0.074,0.012,-0.04,1.5644820296,0.2536997886,-0.8456659619,0.5967741935,0.064516129,0.1481481481,0.031,0.62,2,0,163.298,CONFIRMED_SWING_LOW,0.042,0.8885,163.91,163.229,163.91,163.229,163.697,163.631,1785369600000,NEUTRAL,0,0.1512,0.0786,163.455,163.274,1785367800000,BULLISH,1,0.3128,0.1159,163.91,163.274,1785366000000,NEUTRAL,0,0.1548,0.1531,163.91,163.229
21063,1785370800000,2026-07-30T00:20:00Z,2026-07-30T01:20:00+01:00,true,USDJPY,5,ASIAN_OVERNIGHT,ASIAN_OVERNIGHT,163.339,163.371,163.329,163.362,1868,BULLISH,0.042,0.023,0.5476190476,0.009,0.01,0.2142857143,0.2380952381,0.7857142857,0.0469,0.4904051173,0.8955223881,0.121,0.047,-0.021,2.5799573561,1.0021321962,-0.447761194,1,0.241025641,0.0726643599,0.015,0.3571428571,3,0,163.39,CONFIRMED_SWING_HIGH,0.028,0.5971,163.91,163.229,163.91,163.229,163.697,163.631,1785369600000,NEUTRAL,0,0.1512,0.0786,163.455,163.274,1785367800000,BULLISH,1,0.3128,0.1159,163.91,163.274,1785366000000,NEUTRAL,0,0.1548,0.1531,163.91,163.229
21064,1785371100000,2026-07-30T00:25:00Z,2026-07-30T01:25:00+01:00,true,USDJPY,5,ASIAN_OVERNIGHT,ASIAN_OVERNIGHT,163.361,163.502,163.36,163.494,1876,BULLISH,0.142,0.133,0.9366197183,0.008,0.001,0.0563380282,0.0070422535,0.9436619718,0.0537,2.4767225326,2.644320298,0.234,0.187,0.123,4.3575418994,3.4823091248,2.2905027933,1,0.5862068966,0.3007334963,0.011,0.2619047619,4,0,163.39,CONFIRMED_SWING_HIGH,0.104,1.9372,163.91,163.229,163.91,163.229,163.697,163.631,1785369600000,NEUTRAL,0,0.1512,0.0786,163.455,163.274,1785367800000,BULLISH,1,0.3128,0.1159,163.91,163.274,1785366000000,NEUTRAL,0,0.1548,0.1531,163.91,163.229
21065,1785371400000,2026-07-30T00:30:00Z,2026-07-30T01:30:00+01:00,true,USDJPY,5,ASIAN_OVERNIGHT,ASIAN_OVERNIGHT,163.493,163.496,163.455,163.476,1314,BEARISH,0.041,0.017,0.4146341463,0.003,0.021,0.0731707317,0.512195122,0.512195122,0.0528,0.321969697,0.7765151515,0.136,0.21,0.108,2.5757575758,3.9772727273,2.0454545455,0.7906976744,0.7094594595,0.2547169811,0.041,1,0,1,163.39,CONFIRMED_SWING_HIGH,0.086,1.6294,163.91,163.229,163.91,163.229,163.697,163.631,1785370500000,NEUTRAL,0,0.1081,0.091,163.455,163.274,1785369600000,BULLISH,1,0.1641,0.1285,163.91,163.274,1785366000000,NEUTRAL,0,0.1548,0.1531,163.91,163.229
21066,1785371700000,2026-07-30T00:35:00Z,2026-07-30T01:35:00+01:00,true,USDJPY,5,ASIAN_OVERNIGHT,ASIAN_OVERNIGHT,163.476,163.521,163.454,163.487,1553,BULLISH,0.067,0.011,0.1641791045,0.034,0.022,0.5074626866,0.328358209,0.4925373134,0.0538,0.2044609665,1.2453531599,0.125,0.246,0.106,2.3234200743,4.5724907063,1.970260223,0.7763975155,0.8723404255,0.2511848341,0.041,1,1,0,163.39,CONFIRMED_SWING_HIGH,0.097,1.8031,163.91,163.229,163.91,163.229,163.697,163.631,1785370500000,NEUTRAL,0,0.1081,0.091,163.455,163.274,1785369600000,BULLISH,1,0.1641,0.1285,163.91,163.274,1785366000000,NEUTRAL,0,0.1548,0.1531,163.91,163.229
21067,1785372000000,2026-07-30T00:40:00Z,2026-07-30T01:40:00+01:00,true,USDJPY,5,ASIAN_OVERNIGHT,ASIAN_OVERNIGHT,163.485,163.495,163.442,163.45,1618,BEARISH,0.053,0.035,0.6603773585,0.01,0.008,0.1886792453,0.1509433962,0.1509433962,0.0537,0.6517690875,0.9869646182,-0.044,0.19,0.07,-0.8193668529,3.5381750466,1.303538175,0.6666666667,0.6333333333,0.1528384279,0.041,0.7735849057,0,1,163.39,CONFIRMED_SWING_HIGH,0.06,1.1165,163.91,163.229,163.91,163.229,163.697,163.631,1785370500000,NEUTRAL,0,0.1081,0.091,163.455,163.274,1785369600000,BULLISH,1,0.1641,0.1285,163.91,163.274,1785366000000,NEUTRAL,0,0.1548,0.1531,163.91,163.229
21068,1785372300000,2026-07-30T00:45:00Z,2026-07-30T01:45:00+01:00,true,USDJPY,5,ASIAN_OVERNIGHT,ASIAN_OVERNIGHT,163.447,163.47,163.417,163.427,1099,BEARISH,0.053,0.02,0.3773584906,0.023,0.01,0.4339622642,0.1886792453,0.1886792453,0.0537,0.3724394786,0.9869646182,-0.049,0.087,0.099,-0.9124767225,1.6201117318,1.843575419,0.6901408451,0.3580246914,0.2307692308,0.028,0.5283018868,0,2,163.39,CONFIRMED_SWING_HIGH,0.037,0.6892,163.91,163.229,163.91,163.229,163.697,163.631,1785371400000,BEARISH,-1,0.0375,0.0901,163.455,163.209,1785369600000,BULLISH,1,0.1641,0.1285,163.91,163.274,1785366000000,NEUTRAL,0,0.1548,0.1531,163.91,163.229
