fetched_at_utc,datetime,open,high,low,close,volume
2026-07-04T17:02:54Z,2026-07-04,161.37352,161.50409,161.1917,161.36363,
2026-07-04T17:02:54Z,2026-07-03,161.12324,161.49972,160.60117,161.37136,
2026-07-04T17:02:54Z,2026-07-02,162.60795,162.61215,160.68874,161.12277,
2026-07-04T17:02:54Z,2026-07-01,162.58723,162.8446,162.30689,162.6076,
2026-07-04T17:02:54Z,2026-06-30,161.94729,162.67306,161.84716,162.5857,
2026-07-04T17:02:54Z,2026-06-29,161.73738,161.97982,161.71748,161.94455,
2026-07-04T17:02:54Z,2026-06-28,161.7511,162.09366,161.56258,161.75157,
2026-07-04T17:02:54Z,2026-06-27,161.75381,161.77044,161.6835,161.75055,
2026-07-04T17:02:54Z,2026-06-26,161.80706,161.85427,161.53792,161.75395,
2026-07-04T17:02:54Z,2026-06-25,161.8119,161.9891,161.58859,161.80653,
2026-07-04T17:02:54Z,2026-06-24,161.58135,161.84583,161.49775,161.81499,
2026-07-04T17:02:54Z,2026-06-23,161.61113,161.73966,161.32181,161.58459,
2026-07-04T17:02:54Z,2026-06-22,161.25598,162.00732,161.07385,161.61051,
2026-07-04T17:02:54Z,2026-06-21,161.29988,161.58909,161.08392,161.26628,
2026-07-04T17:02:54Z,2026-06-20,161.30908,161.3921,161.28203,161.29952,
2026-07-04T17:02:54Z,2026-06-19,161.40205,161.45796,161.00302,161.31364,
2026-07-04T17:02:54Z,2026-06-18,160.66112,161.81296,160.53657,161.40745,
2026-07-04T17:02:54Z,2026-06-17,160.47372,160.79635,160.12285,160.65742,
2026-07-04T17:02:54Z,2026-06-16,160.35774,160.48942,160.0648,160.47411,
2026-07-04T17:02:54Z,2026-06-15,160.24642,160.39618,159.75319,160.35588,
2026-07-04T17:02:54Z,2026-06-14,160.22229,160.63581,159.45215,160.29854,
2026-07-04T17:02:54Z,2026-06-13,160.22267,160.25034,160.17959,160.22124,
2026-07-04T17:02:54Z,2026-06-12,159.96491,160.38958,159.90666,160.21923,
2026-07-04T17:02:54Z,2026-06-11,160.57197,160.59951,159.61629,159.97194,
2026-07-04T17:02:54Z,2026-06-10,160.36908,160.58471,160.25724,160.56903,
2026-07-04T17:02:54Z,2026-06-09,160.17897,160.4525,160.04099,160.3675,
2026-07-04T17:02:54Z,2026-06-08,160.23747,160.39791,159.91543,160.17861,
2026-07-04T17:02:54Z,2026-06-07,160.3291,161.00122,159.41905,160.24402,
2026-07-04T17:02:54Z,2026-06-06,160.32301,160.61992,160.20288,160.33319,
2026-07-04T17:02:54Z,2026-06-05,160.02733,160.34647,159.83251,160.32998,
2026-07-04T17:02:54Z,2026-06-04,160.09094,160.09704,159.75555,160.02686,
